object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags,score,matched,total,coverage,matched_words
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; (verso: oil and gold on wood),Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Portraits"", ""Women""]",5.536363636363636,11,14,0.7857142857142857,"['portrait', 'of', 'a', 'woman', 'possibly', 'a', 'nun', 'of', 'san', 'scene', 'in']"
208302,Dish with flowers and birds,eastern,European Sculpture and Decorative Arts,Ceramics-Porcelain-Export,,,18th century,1700,1799,Hard-paste porcelain (Jingdezhen ware),,,,,1995,"[""Birds"", ""Flowers""]",6.316,5,5,1.0,"['dish', 'with', 'flowers', 'and', 'birds']"
310453,Nkishi (community power figure),western,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]",6.153333333333333,3,4,0.75,"['community', 'power', 'figure']"
436543,Josefa de Castilla Portugal y van Asbrock de Garcini (1775–about 1850),western,European Paintings,Paintings,,,1804,1804,1804,Oil on canvas,Goya (Francisco de Goya y Lucientes),Spanish,1746.0,1828.0,1955,"[""Portraits"", ""Women""]",4.896,5,12,0.4166666666666667,"['de', 'y', 'van', 'de', 'about']"
437423,The Immaculate Conception,western,European Paintings,Paintings,,,1627,1627,1627,Oil on canvas,Guido Reni,Italian,1575.0,1642.0,1959,"[""Angels"", ""Virgin Mary""]",5.44,2,3,0.6666666666666666,"['the', 'conception']"
56966,The Actor Segawa Kikunojō III as Wappa no Kikuō in a Woman’s “Asahina Armor Pulling” (Asahina no kusazuri-biki) Scene,eastern,Asian Art,Prints,Japan,Edo period (1615–1868),"1780 (An’ei 9), 1st month",1780,1780,Left sheet of a diptych of woodblock prints (nishiki-e); ink and color on paper,Katsukawa Shunshō　勝川春章,Japanese,1726.0,1792.0,1936,"[""Eagles"", ""Actors""]",5.1033333333333335,12,21,0.5714285714285714,"['the', 'actor', 'iii', 'as', 'no', 'in', 'a', 'woman', 's', 'pulling', 'no', 'scene']"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852.0,1913.0,1946,"[""Skeletons"", ""Women""]",5.826666666666667,15,20,0.75,"['in', 'proof', 'of', 'true', 'love', 'a', 'arguing', 'with', 'a', 'woman', 'two', 'angels', 'in', 'upper', 'corners']"
310364,Vessel with mythological scene,western,The Michael C. Rockefeller Wing,Ceramics-Containers,Maya,,600–800 CE,600,800,"Ceramic, slip",Metropolitan Painter,,600.0,800.0,1978,"[""Men"", ""Mythical Creatures"", ""Dogs"", ""Serpents"", ""Deities""]",5.8133333333333335,3,4,0.75,"['vessel', 'with', 'scene']"
451270,"""Shah Jahan on a Terrace, Holding a Pendant Set With His Portrait"", Folio from the Shah Jahan Album",western,Islamic Art,Codices,,,recto: dated 1627–28; verso: ca. 1530–50,1515,1628,"Ink, opaque watercolor, and gold on paper",Chitarman,Indian,1627.0,1670.0,1955,"[""Men"", ""Portraits""]",5.61090909090909,11,18,0.6111111111111112,"['on', 'a', 'holding', 'a', 'set', 'with', 'his', 'portrait', 'from', 'the', 'album']"
201862,Paris,western,European Sculpture and Decorative Arts,Sculpture-Bronze,,,ca. 1518–1524,1513,1529,"Bronze, partially fire-gilt, silver inlay",Antico (Pier Jacopo Alari Bonacolsi),Italian,1460.0,1528.0,1955,"[""Apples"", ""Male Nudes""]",6.86,1,1,1.0,['paris']
310453,Nkishi (community power figure),western,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]",6.153333333333333,3,4,0.75,"['community', 'power', 'figure']"
237739,Saint Ignatius Loyola with an angel holding a book,western,European Sculpture and Decorative Arts,Sculpture-Bronze,,,ca. 1722,1717,1727,Bronze,Francesco Bertos,Italian,1678.0,1741.0,2010,"[""Books"", ""Angels"", ""Saints""]",6.1000000000000005,7,9,0.7777777777777778,"['saint', 'with', 'an', 'angel', 'holding', 'a', 'book']"
453673,Nan va Halva (Breads and Sweets),eastern,Islamic Art,Codices,,,ca. 1690,1665,1715,"Ink, opaque watercolor, and gold on paper
Binding: leather",Muhammad Baha' al-Din al-'Amili,"Iranian, born Syria",1547.0,1621.0,1999,"[""Birds"", ""Men"", ""Dogs""]",5.15,2,6,0.3333333333333333,"['va', 'and']"
206965,Longcase astronomical regulator,western,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727.0,1807.0,1982,,,0,3,0.0,[]
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,,4.68,1,2,0.5,['cross']
