title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term
Shoulao,Chantilly,ca. 1735–40,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,207247,True,1982,Shoulao Tin-glazed soft-paste porcelain decorataed in polychrome enamels,72,other
Commode à vantaux,David Roentgen,ca. 1775–79 with later alterations,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",Woodwork-Furniture,European Sculpture and Decorative Arts,,,,,Commode à vantaux,206989,True,1982,"Commode à vantaux Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",257,other
Musk Cat,Uto Gyoshi,mid- to late 16th century,Hanging scroll; ink and color on paper,Paintings,Asian Art,Japan,Muromachi period (1392–1573),,,Hanging scroll,53222,True,2015,Musk Cat Hanging scroll; ink and color on paper,47,other
Our Lady of Valvanera,Unknown,ca. 1770–80,Oil and gold on canvas,,The American Wing,Peru (Cuzco),,,,Painting,764091,True,2018,Our Lady of Valvanera Oil and gold on canvas,44,other
Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),,Fresco,Paintings,European Paintings,,,,,Painting,436492,True,1880,Saint Christopher and the Infant Christ Fresco,46,other
Domestic Tourism I: Felucca,Maha Maamoun,2005,Chromogenic print,Photographs,Modern and Contemporary Art,,,,,Photograph,749503,False,2018,Domestic Tourism I: Felucca Chromogenic print,45,other
Head from a Statue of King Amenhotep I,,ca. 1525–1504 B.C.,"Sandstone, paint",,Egyptian Art,,New Kingdom,Dynasty 18,reign of Amenhotep I,"Head, Amenhotep I",544453,True,1926,"Head from a Statue of King Amenhotep I Sandstone, paint",55,other
"Capital with Angels Holding the Veil of Saint Veronica, with a Column",,ca. 1325–75,Limestone with traces of polychromy,Sculpture-Architectural,Medieval Art,North Italian,,,,Column,466085,True,1981,"Capital with Angels Holding the Veil of Saint Veronica, with a Column Limestone with traces of polychromy",105,other
"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,1817,Oil on canvas,Paintings,European Paintings,,,,,Painting,437340,True,1994,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand Oil on canvas",86,other
Portrait of a Man in Armor with Two Pages,Paris Bordon,,Oil on canvas,Paintings,European Paintings,,,,,Painting,435722,True,1973,Portrait of a Man in Armor with Two Pages Oil on canvas,55,portrait
Tomb Chapel of Raemkai,,ca. 2446–2389 B.C.,"Limestone, paint",,Egyptian Art,,Old Kingdom,Dynasty 5,,"Relief, tomb chapel, Raemkai, offerings, estates, agriculture, hunt, clapnet",590874,True,1908,"Tomb Chapel of Raemkai Limestone, paint",39,other
Bamboo in Snow,Dapeng Zhengkun (Taihō Shōkon),1774,Pair of hanging scrolls; ink on silk,Paintings,Asian Art,Japan,Edo period (1615–1868),,,Hanging scrolls,49068,True,1975,Bamboo in Snow Pair of hanging scrolls; ink on silk,51,other
"Relief from the tomb of Bakenrenef, wall from small room with texts and niches",,664–610 B.C.,"Limestone, paint",,Egyptian Art,,"Late Period, Saite",Dynasty 26,reign of Psamtik I,"Relief, Tomb of Bakenrenef",623395,True,1911,"Relief from the tomb of Bakenrenef, wall from small room with texts and niches Limestone, paint",95,other
