title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
An Egyptian Peasant Woman and Her Child,Léon Bonnat,1869–70,Oil on canvas,Paintings,European Paintings,,,,,Painting,435711,True,1887.0,An Egyptian Peasant Woman and Her Child Oil on canvas,53,other,5.680000000000001,9,10,0.9,"['an', 'egyptian', 'peasant', 'woman', 'and', 'her', 'child', 'oil', 'on']"
Street Story Quilt,Faith Ringgold,1985,"Cotton canvas, acrylic paint, ink marker, dyed and printed cotton, and sequins, sewn to a cotton flannel backing",Textiles,Modern and Contemporary Art,,,,,Painting,485416,False,1990.0,"Street Story Quilt Cotton canvas, acrylic paint, ink marker, dyed and printed cotton, and sequins, sewn to a cotton flannel backing",131,other,5.748333333333334,12,21,0.5714285714285714,"['street', 'story', 'cotton', 'paint', 'ink', 'and', 'printed', 'cotton', 'and', 'to', 'a', 'cotton']"
Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,,ca. 1275–1300,Ivory with traces of original gilding and polychromy; silver hinges.,Ivories,Robert Lehman Collection,Northern France (?),,,,Tabernacle polyptych,460281,True,1975.0,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ Ivory with traces of original gilding and polychromy; silver hinges.,151,other,5.717499999999999,16,24,0.6666666666666666,"['with', 'the', 'and', 'child', 'and', 'scenes', 'from', 'the', 'life', 'of', 'christ', 'with', 'of', 'original', 'and', 'silver']"
"A radiant female figure beset by dark spirits; page 45 from the ""Images of Spain"" Album (F)",Goya (Francisco de Goya y Lucientes),ca. 1812–20,"Brush and point of brush, brown and gray washes, over touches or chalk",Drawings,Drawings and Prints,,,,,Drawing,334030,True,1935.0,"A radiant female figure beset by dark spirits; page 45 from the ""Images of Spain"" Album (F) Brush and point of brush, brown and gray washes, over touches or chalk",162,other,5.4128,25,30,0.8333333333333334,"['a', 'female', 'figure', 'by', 'dark', 'spirits', 'page', 'from', 'the', 'images', 'of', 'spain', 'album', 'f', 'brush', 'and', 'point', 'of', 'brush', 'brown', 'and', 'gray', 'over', 'touches', 'or']"
Settee (one of a pair) (part of a set),Johann Michael Bauer,ca. 1763–64,"Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)",Woodwork-Lacquer,European Sculpture and Decorative Arts,,,,,Settee,209104,True,1974.0,"Settee (one of a pair) (part of a set) Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)",121,other,5.616111111111111,18,22,0.8181818181818182,"['one', 'of', 'a', 'pair', 'part', 'of', 'a', 'set', 'carved', 'painted', 'and', 'wood', 'pillow', 'in', 'silk', 'velvet', 'not', 'original']"
Ten Verses on Oxherding,,1278,Handscroll; ink and color on paper,Paintings,Asian Art,Japan,Kamakura period (1185–1333),,,Handscroll,53660,True,2015.0,Ten Verses on Oxherding Handscroll; ink and color on paper,58,other,5.734285714285713,7,10,0.7,"['ten', 'on', 'ink', 'and', 'color', 'on', 'paper']"
Hat,Schiaparelli,summer 1940,"straw, cotton, silk",,Costume Institute,French,,,,Hat,156596,False,2009.0,"Hat straw, cotton, silk",23,other,6.266666666666667,3,4,0.75,"['hat', 'cotton', 'silk']"
Emperor Antoninus Pius,Antico (Pier Jacopo Alari Bonacolsi),1519–24,"Bronze, partially oil-gilt, silver inlay, on serpentinite socle",Sculpture-Bronze,European Sculpture and Decorative Arts,,,,,Bust,204587,True,1965.0,"Emperor Antoninus Pius Bronze, partially oil-gilt, silver inlay, on serpentinite socle",86,other,5.481999999999999,5,12,0.4166666666666667,"['emperor', 'partially', 'oil', 'silver', 'on']"
Bronze statuette of a philosopher on a lamp stand,,late 1st century BCE,Bronze,Bronzes,Greek and Roman Art,Roman,"Early Imperial, Augustan",,,"Statuette of philosopher on lamp stand, Hermarchos ?",248466,True,1910.0,Bronze statuette of a philosopher on a lamp stand Bronze,56,other,5.39,6,10,0.6,"['of', 'a', 'on', 'a', 'lamp', 'stand']"
Head of Christ,Master of the Orcagnesque Misericordia,,"Tempera on wood, gold ground",Paintings,European Paintings,,,,,Painting,437021,True,1981.0,"Head of Christ Tempera on wood, gold ground",43,other,5.928571428571429,7,8,0.875,"['head', 'of', 'christ', 'on', 'wood', 'gold', 'ground']"
Night-Shining White,Han Gan,ca. 750,Handscroll; ink on paper,Paintings,Asian Art,China,Tang dynasty (618–907),,,Handscroll,39901,True,1977.0,Night-Shining White Handscroll; ink on paper,44,other,6.076666666666665,6,7,0.8571428571428571,"['night', 'shining', 'white', 'ink', 'on', 'paper']"
